lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
15.700000000000001,0.7,Uniform,0.5,0.5000250452,0.014624049238743159,5.009040000003573e-05,True
15.700000000000001,0.69,Uniform,0.5,0.5000266912,0.015108489313167873,5.33823999999683e-05,True
15.700000000000001,0.68,Uniform,0.5,0.5000267414,0.015123064601208068,5.348280000005978e-05,True
15.700000000000001,0.67,Uniform,0.5,0.5000269481999999,0.015175950391655039,5.3896399999864286e-05,True
15.700000000000001,0.66,Uniform,0.5,0.5000273716,0.015284915742043255,5.474319999998478e-05,True
15.700000000000001,0.65,Uniform,0.5,0.5000280014,0.01544873458025039,5.6002800000065633e-05,True
15.700000000000001,0.64,Uniform,0.5,0.5000288342,0.015665633067878035,5.7668399999988296e-05,True
15.700000000000001,0.63,Uniform,0.5,0.5000298630000001,0.01593338700002261,5.9726000000148716e-05,True
15.700000000000001,0.62,Uniform,0.5,0.500031082,0.016249444659569904,6.21640000000312e-05,True
15.700000000000001,0.61,Uniform,0.5,0.500032485,0.016611006472787338,6.496999999994202e-05,True
15.700000000000001,0.6,Uniform,0.5,0.500034069,0.017015119937818207,6.813800000005088e-05,True
15.700000000000001,0.5900000000000001,Uniform,0.5,0.5000353328,0.01733614404631327,7.066560000001942e-05,True
15.700000000000001,0.5800000000000001,Uniform,0.5,0.500035309,0.017330776596869775,7.061800000007779e-05,True
15.700000000000001,0.5700000000000001,Uniform,0.5,0.500035495,0.017371429497854654,7.0989999999993e-05,True
15.700000000000001,0.56,Uniform,0.5,0.5000358878,0.017457733874624695,7.177559999993477e-05,True
15.700000000000001,0.55,Uniform,0.5,0.5000364786,0.017588999265295707,7.295720000000117e-05,True
15.700000000000001,0.54,Uniform,0.5,0.500037258,0.01776419081714992,7.451599999996894e-05,True
15.700000000000001,0.53,Uniform,0.5,0.5000382246,0.017981990519059906,7.644920000005051e-05,True
15.700000000000001,0.52,Uniform,0.5,0.5000393736,0.01824083418323743,7.874719999989566e-05,True
15.700000000000001,0.51,Uniform,0.5,0.5000406976,0.01853898627903384,8.139520000005618e-05,True
